Truss_Pyramid_Example
10  1  1  1 
1   1  1  1   0.000000   0.000000   0.000000
2   0  0  0   1.000000   0.000000   0.000000
3   1  1  1   2.000000   0.000000   0.000000
4   0  0  0   1.500000   0.866000   0.000000
5   1  1  1   1.000000   1.732000   0.000000
6   0  0  0   0.500000   0.866000   0.000000
7   0  0  0   1.000000   0.577350   1.632993    
8   0  0  0   0.500000   0.288675   0.816497
9   0  0  0   1.500000   0.288675   0.816497
10  0  0  0   1.000000   1.154701   0.816497
1  1
7  1  -100.0
1  12  1
1  2.10e11  1.0e-4
1   1   2   1
2   2   3   1
3   1   6   1
4   6   5   1
5   3   4   1
6   4   5   1
7   1   8   1
8   8   7   1
9   3   9   1
10  9   7   1
11  5  10   1
12 10   7   1
13  2   6   1
14  2   4   1
15  4   6   1
16  2   8   1
17  2   9   1
18  8   9   1
19  6   8   1
20  6   10  1
21  8   10  1
22  4   9   1
23  4   10  1
24  9   10  1
