H8_Cantilever_Cube_1x1x1_Body_Force_x
8	1	1	1
1	1	1	1	0.000000	0.000000	0.000000
2	0	0	0	1.000000	0.000000	0.000000
3	1	1	1	0.000000	1.000000	0.000000
4	0	0	0	1.000000	1.000000	0.000000
5	1	1	1	0.000000	0.000000	1.000000
6	0	0	0	1.000000	0.000000	1.000000
7	1	1	1	0.000000	1.000000	1.000000
8	0	0	0	1.000000	1.000000	1.000000
1	8
1	1	0.041666666667
2	1	0.083333333333
3	1	0.041666666667
4	1	0.083333333333
5	1	0.041666666667
6	1	0.083333333333
7	1	0.041666666667
8	1	0.083333333333
4	1	1
1	10000.0	0.0
1	1	2	4	3	5	6	8	7	1
